eto_ofr_display_id,fk_glusr_usr_id,eto_ofr_mcat_id,eto_ofr_typ,eto_ofr_approv,eto_ofr_approv_date_orig
6507389475,8968227,24522,B,A,28/02/14 12:27
6478457846,4040339,1174,B,A,20/02/14 08:48
6524835846,9664767,23712,B,A,02/03/14 11:24
6478766759,9587080,33253,B,A,20/02/14 10:26
6516565813,6747024,11681,B,A,28/02/14 14:18
6505066863,9184340,152752,B,A,26/02/14 13:22
6478753034,7350996,8408,B,A,20/02/14 10:27
6560299967,9734879,40844,B,A,07/03/14 13:21
6513174834,8989975,148423,B,A,27/02/14 18:43
6498423052,9630793,6034,B,A,25/02/14 13:24
6321792246,9284520,133826,B,A,21/01/14 05:48
6574861367,9761363,6472,B,A,10/03/14 14:14
6573160863,9758956,8408,B,A,10/03/14 11:29
6582354695,9774637,35991,B,A,11/03/14 17:16
6556711675,5484736,102009,B,A,06/03/14 17:51
12126139985,11984201,145135,B,A,19/09/16 15:48
13223959667,37611480,186980,B,A,16/01/17 15:13
13035923313,32321002,34747,B,A,26/12/16 20:21
13017773695,36589085,27531,B,A,24/12/16 19:06
13164326713,2815184,178988,B,A,08/01/17 10:19
13043808295,30302083,89562,B,A,27/12/16 16:29
13195852295,12033078,25678,B,A,11/01/17 10:52
13141426785,37354398,7813,B,A,08/01/17 17:44
13207788452,29632911,184993,B,A,12/01/17 12:49
13256216046,28649438,21548,B,A,17/01/17 15:51
13078651367,3804262,2546,B,A,01/01/17 13:39
13272173975,9023479,180721,B,A,19/01/17 12:24
13170610246,37354885,114076,B,A,10/01/17 16:27
13010662275,20401997,69209,B,A,25/12/16 17:11
13057804952,32234230,4445,B,A,29/12/16 11:04
13197799413,10942604,68045,B,A,12/01/17 16:22
13051203246,34704115,3488,B,A,28/12/16 11:46
13229030559,2468720,530,B,A,14/01/17 17:07
13245173434,10339823,35670,B,A,20/01/17 15:42
13171256113,16410951,9488,B,A,10/01/17 17:37
13099666485,27324092,142688,B,A,02/01/17 14:33
13081723567,22863331,181979,B,A,31/12/16 09:19
13270739067,37743990,3127,B,A,19/01/17 14:35
13097699459,24379705,151697,B,A,02/01/17 15:06
13279545546,31963441,6053,B,A,19/01/17 16:20
13204192163,37549788,38738,B,A,12/01/17 10:45
13146658967,10730384,136214,B,A,06/01/17 16:33
13009835134,36635075,3072,B,A,24/12/16 11:01
13134516213,35601265,28321,B,A,05/01/17 14:03
13138893446,26881744,951,B,A,05/01/17 19:55
13172465059,28689549,1425,B,A,16/01/17 16:33
13051442159,37081677,26929,B,A,28/12/16 12:09
13094943167,20741623,45729,B,A,02/01/17 16:29
13179077434,37470291,157929,B,A,09/01/17 17:10
13138460575,37346297,85907,B,A,05/01/17 19:56
13091746759,27963650,181021,B,A,01/01/17 15:40
13082416495,14560776,20514,B,A,31/12/16 10:52
13185295095,29642688,185474,B,A,10/01/17 10:50
13179879513,3571446,7491,B,A,09/01/17 18:09
13041988852,37022646,38338,B,A,27/12/16 15:32
13232895763,14215550,7623,B,A,15/01/17 10:04
13009268275,36906308,122563,B,A,26/12/16 14:45
13191137913,26047438,26819,B,A,10/01/17 18:21
