fel.id,fel.file_id,user_glid,src_mcat_id,extracted_at,llm_extracted_json_masked
2089600,2106388,10684496,10424,1970-01-01 00:00:00.000,"{""lead_tag"": {""deal_blockers"": [], ""deal_readiness"": ""Warm"", ""deal_readiness_reason"": ""Buyer is serious about his requirement and is planning to visit the shop by today afternoon.""}, ""metadata"": {""call_type"": {""type"": ""B2B"", ""reason"": ""The buyer is constructing a footpath with substantial area dimensions (1800 sq ft approx), indicating a commercial or civil work context."", ""evidence"": {""keywords"": [""footpath construction""], ""order_type"": {""order_type_category"": ""commercial""}, ""buyer_persona"": {""persona_category"": ""contractor""}, ""quantity_scale"": ""High""}}, ""buyer_intent"": {""narrative"": ""Mahesh is looking for paver blocks and kerb stones for a footpath project in Savli with a specific layout of 180 feet length and 10 feet width."", ""reasoning"": ""The buyer provides clear dimensions for the site and has a very specific material requirement regarding size and machine type. He's also planning a visit."", ""intent_level"": ""High""}, ""call_outcome"": {""category"": ""Pending"", ""conclusion_notes"": ""The deal is pending as the buyer wants to visit the shop to see the physical samples to match with existing blocks.""}, ""call_purpose"": ""requirement"", ""all_languages"": [""Gujarati"", ""English"", ""Hindi""], ""primary_language"": ""Gujarati"", ""additional_details"": {""buyer_queries"": [{""query"": ""Is hydraulic press variety available in 4x8 size?"", ""category"": ""Specifications"", ""sequence"": 1}], ""seller_queries"": [{""query"": ""What thickness is required - 60mm or 80mm?"", ""category"": ""Specifications"", ""sequence"": 2}]}, ""intended_application"": ""Footpath Construction""}, ""products"": [{""product_name"": ""Paver Block"", ""specifications"": [{""name"": ""Size"", ""value"": ""4 inch by 8 inch""}, {""name"": ""Machine Type"", ""value"": ""Hydraulic Press""}, {""name"": ""Thickness"", ""value"": ""60 mm""}], ""is_buyer_interested"": true}, {""product_name"": ""Paver Block"", ""specifications"": [{""name"": ""Size"", ""value"": ""4 inch by 8 inch""}, {""name"": ""Machine Type"", ""value"": ""Hydraulic Press""}, {""name"": ""Thickness"", ""value"": ""80 mm""}], ""is_buyer_interested"": true}, {""product_name"": ""Kerb Stone"", ""is_buyer_interested"": true}], ""next_steps"": {""buyer_next_steps"": [""To share photos of current blocks"", ""To visit the factory today afternoon""], ""seller_next_steps"": [""To share product catalog and address on WhatsApp""]}, ""buyer_details"": {""buyer_name"": ""b732a2c6a1d94923fc03656ee0c18edef1bf90ba5d836618648a5c47e0baf41b""}, ""seller_details"": {""seller_location"": {""seller_city"": ""Savli"", ""seller_locality"": ""Mehi Power Transformer""}}}"
2279182,2295978,1001263,31157,1970-01-01 00:00:00.000,"{""lead_tag"": {""deal_blockers"": [{""detail"": ""The buyer needs 5 litres but the seller's minimum packing is 50 litres"", ""category"": ""MOQ""}], ""deal_readiness"": ""Cold"", ""deal_readiness_reason"": ""The buyer's requirement is significantly lower than the seller's minimum packaging size""}, ""metadata"": {""call_type"": {""type"": ""B2B"", ""reason"": ""The buyer is inquiring for a chemical used in jewelry manufacturing but the quantity requested is small."", ""evidence"": {""keywords"": [""Jewelry"", ""CAD work""], ""order_type"": {""order_type_category"": ""commercial""}, ""repeat_buyer"": false, ""buyer_persona"": {""persona_detail"": ""Jewelry CAD work"", ""persona_category"": ""manufacturer""}, ""quantity_scale"": ""Low""}}, ""buyer_intent"": {""narrative"": ""Wants 5 litres of Isopropyl Alcohol for jewelry CAD work, but has a quantity mismatch with the seller's MOQ"", ""reasoning"": ""The buyer has a specific but small quantity requirement that does not meet the seller's minimum order quantity of 50 litres"", ""intent_level"": ""Low""}, ""call_outcome"": {""category"": ""Follow-up"", ""conclusion_notes"": ""The buyer will get back after checking the price (Ok ok chalo tamne kahu)""}, ""call_purpose"": ""requirement"", ""all_languages"": [""Gujarati""], ""primary_language"": ""Gujarati"", ""additional_details"": {""buyer_queries"": [{""query"": ""What is the rate for IPA?"", ""category"": ""Pricing"", ""sequence"": 1}, {""query"": ""What is the price for a 50 litre pack of IPA?"", ""category"": ""Pricing"", ""sequence"": 3}], ""seller_queries"": [{""query"": ""How much IPA is required?"", ""category"": ""Quantity"", ""sequence"": 2}]}, ""intended_application"": ""Jewelry CAD work""}, ""products"": [{""price"": {""gst"": {""is_gst_included"": false}, ""value"": 125, ""currency"": ""INR"", ""price_unit"": ""litre"", ""buyer_price_reaction"": {""quote"": ""Ok ok chalo tamne kahu"", ""category"": ""Accepted""}}, ""in_stock"": ""in stock"", ""product_name"": ""IPA (Isopropyl Alcohol)"", ""quantity_required"": {""unit"": ""litres"", ""value"": 5}, ""related_categories"": [{""name"": ""Chemical Solvent"", ""reason"": ""Isopropyl Alcohol is commonly used as an industrial chemical solvent""}, {""name"": ""Industrial Solvents"", ""reason"": ""IPA is a widely used solvent in various industrial processes""}], ""is_buyer_interested"": true, ""minimum_order_quantity"": {""unit"": ""litres"", ""value"": 50}, ""most_specific_category"": {""name"": ""Isopropyl Alcohol IPA"", ""reason"": ""The buyer explicitly asked for IPA, which stands for Isopropyl Alcohol""}, ""seller_accepts_quantity"": false}], ""next_steps"": {""buyer_next_steps"": [""To confirm if 50 litre quantity is acceptable""], ""seller_next_steps"": []}, ""buyer_details"": {""buyer_name"": ""bd878fa2293de72e9c871463e1c2ef2964acb0ea282540c9d2f52fe32c6d18d1"", ""buyer_location"": {""buyer_city"": ""Ahmedabad"", ""buyer_locality"": ""Gurudwara""}}, ""seller_details"": {""seller_location"": {""seller_city"": ""Ahmedabad""}}}"
3118114,3134940,8436657,4167,1970-01-01 00:00:00.000,"{""callback"": ""callback by Tomorrow 10 AM - To confirm the order quantity and finalize prices."", ""lead_tag"": {""deal_blockers"": [{""detail"": ""Buyer needs 5,000 pcs but seller MOQ is 25,000 pcs"", ""category"": ""MOQ""}], ""deal_readiness"": ""Cold"", ""deal_readiness_reason"": ""Large mismatch between buyer's required quantity and seller's minimum order requirement.""}, ""metadata"": {""call_type"": {""type"": ""B2B"", ""reason"": ""The buyer was looking for bulk quantities (5,000 pcs) likely for resale, and the seller operates as a bulk manufacturer/wholesaler (MOQ 25,000 pcs)."", ""evidence"": {""keywords"": [""IndiaMART inquiry""], ""order_type"": [""bulk""], ""repeat_buyer"": false, ""buyer_persona"": {""persona_category"": ""retailer""}, ""quantity_scale"": ""High""}}, ""buyer_intent"": {""narrative"": ""Wants 5,000 pieces of diapers but the seller only accepts orders of 25,000+ pieces."", ""reasoning"": ""Buyer had a specific quantity and size in mind but the seller's MOQ was much higher than his requirement."", ""intent_level"": ""Medium""}, ""call_outcome"": {""category"": ""Lost"", ""conclusion_notes"": ""Quantity mismatch (MOQ 25000 pieces hai aur requirement 5000 ki hai)""}, ""call_purpose"": ""requirement"", ""all_languages"": [""Hindi"", ""English""], ""primary_language"": ""Hindi"", ""additional_details"": {""buyer_queries"": [{""query"": ""What is the minimum quantity you deal in?"", ""category"": ""Quantity"", ""sequence"": 2}, {""query"": ""What would be the price for M size?"", ""category"": ""Pricing"", ""sequence"": 3}], ""seller_queries"": [{""query"": ""We don't deal in such low quantities."", ""category"": ""Quantity"", ""sequence"": 1}]}}, ""products"": [{""price"": {""value"": 4.5, ""currency"": ""INR"", ""price_unit"": ""piece"", ""buyer_price_reaction"": {""quote"": ""Theek hai"", ""category"": ""Accepted""}}, ""in_stock"": ""in stock"", ""product_name"": ""Diaper"", ""specifications"": [{""name"": ""Size"", ""value"": ""M"", ""buyer_requested"": true, ""seller_mentioned"": true}], ""quantity_required"": {""unit"": ""pieces"", ""value"": 5000}, ""related_categories"": [{""name"": ""Baby Diapers"", ""reason"": ""Commonly referred to as diapers in a B2B context for baby care.""}, {""name"": ""Disposable Baby Diapers"", ""reason"": ""Diapers discussed in bulk are typically disposable types.""}], ""is_buyer_interested"": true, ""minimum_order_quantity"": {""unit"": ""pieces"", ""value"": 25000}, ""most_specific_category"": {""name"": ""Diaper"", ""reason"": ""The conversation explicitly discusses 'diapers' for multiple sizes and bulk quantity.""}, ""seller_accepts_quantity"": false}], ""next_steps"": {""buyer_next_steps"": [], ""seller_next_steps"": []}, ""buyer_details"": {""buyer_name"": ""84696d86eb6abe2025ed83e54fd192202917fe6a305c989fff0a616e300680b1"", ""buyer_mobile_number"": ""6b6713c7b4be8b1ba5de053592f88bd80acb1d920ce6806f190d686a32f8cfd4""}, ""seller_details"": {""seller_name"": ""602d3d0ab5e96a205221e5a0ea2e85b4d8aee8562a064533e95591f94d2df19e""}}"
2283233,2300030,8436657,4167,1970-01-01 00:00:00.000,"{""lead_tag"": {""deal_blockers"": [], ""deal_readiness"": ""Warm"", ""deal_readiness_reason"": ""Buyer is looking to start a new business and requested a catalog to proceed.""}, ""metadata"": {""call_type"": {""type"": ""B2B"", ""reason"": ""The buyer explicitly mentions wanting to start a business, which implies commercial/B2B intent for resale or distribution."", ""evidence"": {""keywords"": [""Business start karna hai"", ""Loose Diapers""], ""order_type"": {""order_type_category"": ""commercial""}, ""repeat_buyer"": true, ""buyer_persona"": {""persona_detail"": ""New Business Owner"", ""persona_category"": ""wholesaler""}}}, ""buyer_intent"": {""narrative"": ""Buyer wants to start a business for loose diapers and is inquiring from Kota."", ""reasoning"": ""Buyer clearly stated they want to start a business specifically for loose diapers and requested pricing information."", ""intent_level"": ""High""}, ""call_outcome"": {""category"": ""Pending"", ""conclusion_notes"": ""Sellers will send the rate card on WhatsApp for the buyer to review (WhatsApp pe rate card send karta hoon).""}, ""call_purpose"": ""requirement"", ""all_languages"": [""Hindi"", ""English""], ""primary_language"": ""Hindi"", ""additional_details"": {""buyer_queries"": [{""query"": ""Requesting rates for loose diapers."", ""category"": ""Pricing"", ""sequence"": 1}], ""seller_queries"": []}}, ""products"": [{""product_name"": ""Loose Diapers"", ""specifications"": [{""name"": ""Type"", ""value"": ""Loose"", ""buyer_requested"": true, ""seller_mentioned"": false}], ""related_categories"": [{""name"": ""Diaper"", ""reason"": ""The product belongs to the general category of diapers.""}, {""name"": ""Baby Diapers"", ""reason"": ""The context of 'loose diapers' in a new business setup usually refers to baby hygiene products.""}], ""is_buyer_interested"": true, ""most_specific_category"": {""name"": ""Kids Diaper"", ""reason"": ""The buyer specifically mentioned being interested in starting a business for 'loose diapers' and babies.""}}], ""next_steps"": {""buyer_next_steps"": [""To check the rate card sent on WhatsApp""], ""seller_next_steps"": [""To share the rate card on WhatsApp""]}, ""buyer_details"": {""buyer_name"": ""721d3feb57b853075a86941b5b7117408d99341fbe428db003f20079049a2a1c""}, ""seller_details"": {""seller_name"": ""602d3d0ab5e96a205221e5a0ea2e85b4d8aee8562a064533e95591f94d2df19e""}}"
9137,9139,339337,29864,1970-01-01 00:00:00.000,"{""metadata"": {""call_type"": {""type"": ""B2B"", ""reason"": ""The buyer is asking for 20-20 pieces of two different lengths, which implies a bulk order for business use. He also asked for fine pitch with 2mm pitch which is a specification for industrial use."", ""evidence"": {""order_type"": ""bulk"", ""quantity_scale"": ""High""}}, ""call_purpose"": ""requirement"", ""all_languages"": [""gujarati""], ""primary_language"": ""gujarati""}, ""products"": [{""product_name"": ""Grub Screw"", ""specifications"": [{""name"": ""Size"", ""value"": ""M24"", ""buyer_requested"": true, ""seller_mentioned"": false}, {""name"": ""Pitch"", ""unit"": ""mm"", ""value"": ""2"", ""buyer_requested"": true, ""seller_mentioned"": false}, {""name"": ""Type"", ""value"": ""Fine Pitch"", ""buyer_requested"": true, ""seller_mentioned"": false}, {""name"": ""Length"", ""unit"": ""mm"", ""value"": ""70"", ""buyer_requested"": true, ""seller_mentioned"": false}, {""name"": ""Material"", ""value"": ""MS"", ""buyer_requested"": true, ""seller_mentioned"": true}, {""name"": ""Grade"", ""value"": ""8.8"", ""buyer_requested"": true, ""seller_mentioned"": true}], ""quantity_required"": {""unit"": ""numbers"", ""value"": 20}, ""related_categories"": [{""name"": ""Screws"", ""reason"": ""Grub screws are a type of screw, hence categorized under screws.""}, {""name"": ""Set Screws"", ""reason"": ""Grub screws are also known as set screws.""}], ""is_buyer_interested"": true, ""most_specific_category"": {""name"": ""Grub Screw"", ""reason"": ""The buyer explicitly asked for \""grub screw\"" in the call.""}}, {""product_name"": ""Grub Screw"", ""specifications"": [{""name"": ""Size"", ""value"": ""M24"", ""buyer_requested"": true, ""seller_mentioned"": false}, {""name"": ""Pitch"", ""unit"": ""mm"", ""value"": ""2"", ""buyer_requested"": true, ""seller_mentioned"": false}, {""name"": ""Type"", ""value"": ""Fine Pitch"", ""buyer_requested"": true, ""seller_mentioned"": false}, {""name"": ""Length"", ""unit"": ""mm"", ""value"": ""40"", ""buyer_requested"": true, ""seller_mentioned"": false}, {""name"": ""Material"", ""value"": ""MS"", ""buyer_requested"": true, ""seller_mentioned"": true}, {""name"": ""Grade"", ""value"": ""8.8"", ""buyer_requested"": true, ""seller_mentioned"": true}], ""quantity_required"": {""unit"": ""numbers"", ""value"": 20}, ""related_categories"": [{""name"": ""Screws"", ""reason"": ""Grub screws are a type of screw, hence categorized under screws.""}, {""name"": ""Set Screws"", ""reason"": ""Grub screws are also known as set screws.""}], ""is_buyer_interested"": true, ""most_specific_category"": {""name"": ""Grub Screw"", ""reason"": ""The buyer explicitly asked for \""grub screw\"" in the call.""}}], ""next_steps"": {""buyer_next_steps"": [], ""seller_next_steps"": [""To share product details on WhatsApp""]}, ""buyer_details"": {""buyer_name"": ""f2b95147ef43dc9c4742013360b3e56ebad66a575b338890ba9d66848ecac19b"", ""buyer_mobile_number"": ""257bf5fa6b97b5384ed0c17675c6e2d4617ba7c166cc13f24fe5c3f2f1376c36""}, ""seller_details"": {""seller_name"": ""489f3692b9eef815408f32d6f1856383a7f2003cd693e886b14a307110adb095"", ""seller_mobile_number"": ""d17fdf64f02cce2696a0407e03354ca4d74f2a8754ee0f8c7090a23004ba2773""}}"
9235,9237,5525698,7797,1970-01-01 00:00:00.000,"{""metadata"": {""call_type"": {""type"": ""B2C"", ""reason"": ""The buyer inquired about steel glasses for personal use, asking for 100 pieces, which is not a bulk quantity. The seller also suggested purchasing from a local shop, indicating a B2C nature of the request."", ""evidence"": {""order_type"": ""one-time"", ""buyer_persona"": ""end customer"", ""quantity_scale"": ""Low""}}, ""call_purpose"": ""requirement"", ""all_languages"": [""hindi""], ""primary_language"": ""hindi""}, ""products"": [{""specifications"": [{""name"": ""Material"", ""value"": ""steel"", ""buyer_requested"": true, ""seller_mentioned"": false}, {""name"": ""Capacity"", ""unit"": ""ml"", ""value"": ""100"", ""buyer_requested"": true, ""seller_mentioned"": false}, {""name"": ""Capacity"", ""unit"": ""ml"", ""value"": ""250"", ""buyer_requested"": true, ""seller_mentioned"": false}], ""quantity_required"": {""unit"": ""pieces"", ""value"": 100}, ""related_categories"": [{""name"": ""Drinking Glasses"", ""reason"": ""Steel glasses are a type of drinking glass, making this a relevant related category.""}, {""name"": ""Kitchen Glasses"", ""reason"": ""Drinking glasses are commonly used in the kitchen, so this is a relevant related category.""}], ""is_buyer_interested"": false, ""most_specific_category"": {""name"": ""Steel Glasses"", ""reason"": ""The buyer explicitly asked for 'steel ka glass' (steel glass) which directly matches this category.""}}], ""next_steps"": {""buyer_next_steps"": [], ""seller_next_steps"": []}, ""buyer_details"": {""buyer_name"": ""4a577ac3c017756a7cf2c8689ea5876f168c690497d05ef8e22da2dd13a22c11"", ""buyer_location"": {""buyer_city"": ""Kharagpur""}, ""buyer_mobile_number"": ""35f6fccdc07bfccc764b35b4dfe5f8dc110e8604a1747a22da67735492e1e3ff""}, ""seller_details"": {""seller_name"": ""7c78eea7a591b0c8a4dad680372e35ca12e11cffdac5c69a39700c8014fbcc82"", ""seller_location"": {""seller_city"": ""New Delhi""}}}"
2609107,2625920,8436657,4167,1970-01-01 00:00:00.000,"{""lead_tag"": {""deal_blockers"": [{""detail"": ""Call abruptly ends before any business discussion occurs."", ""category"": ""Other""}], ""deal_readiness"": ""Cold"", ""deal_readiness_reason"": ""No concrete information about pricing or inventory was exchanged as the call was very brief.""}, ""metadata"": {""call_type"": {""type"": ""B2C"", ""reason"": ""The call is an initial inquiry about a common consumer product with no indicators of business scale yet."", ""evidence"": {""order_type"": [""other""], ""repeat_buyer"": false, ""buyer_persona"": {""persona_category"": ""end_consumer""}}}, ""buyer_intent"": {""narrative"": ""Wants to inquire about diapers and check available sizes."", ""reasoning"": ""The buyer initiated a query but the call ended before specific details or quantities were explored."", ""intent_level"": ""Low""}, ""call_outcome"": {""category"": ""Follow-up"", ""conclusion_notes"": ""Call ended abruptly after initial greetings and basic inquiry (Call cuts off).""}, ""call_purpose"": ""requirement"", ""all_languages"": [""Hindi"", ""English""], ""primary_language"": ""Hindi"", ""additional_details"": {""buyer_queries"": [{""query"": ""Which sizes are available?"", ""category"": ""Specifications"", ""sequence"": 1}], ""seller_queries"": []}}, ""products"": [{""product_name"": ""Diaper"", ""specifications"": [{""name"": ""Size"", ""value"": ""Medium"", ""buyer_requested"": true, ""seller_mentioned"": false}], ""related_categories"": [{""name"": ""Baby Diaper Pants"", ""reason"": ""Diaper inquiries in a B2B context often involve baby diaper pants.""}, {""name"": ""Adult Diapers"", ""reason"": ""General diaper category can also encompass adult variants depending on further specification.""}], ""is_buyer_interested"": true, ""most_specific_category"": {""name"": ""Diaper"", ""reason"": ""The buyer indicates a general requirement for diapers, asking about available sizes and price ranges without specifying a brand.""}}], ""next_steps"": {""buyer_next_steps"": [""To reconnect and specify full requirements""], ""seller_next_steps"": [""To call back and provide product details""]}, ""buyer_details"": {""buyer_name"": ""623f0b5584eb86d9f905e52679a9ce3bca0bd91a950a03e0eaa1b2f8bb3e9908""}, ""seller_details"": {""seller_name"": ""602d3d0ab5e96a205221e5a0ea2e85b4d8aee8562a064533e95591f94d2df19e""}}"
2609199,2626011,8436657,4167,1970-01-01 00:00:00.000,"{""lead_tag"": {""deal_blockers"": [], ""deal_readiness"": ""Warm"", ""deal_readiness_reason"": ""Discussing business specific brand manufacturing and waiting for a price list to proceed with calculations.""}, ""metadata"": {""call_type"": {""type"": ""B2B"", ""reason"": ""The buyer is looking for third-party manufacturing for their own brand, indicating a B2B commercial intent for business resale."", ""evidence"": {""keywords"": [""Own Brand"", ""Price List"", ""Manufacturing""], ""order_type"": [""commercial""], ""repeat_buyer"": true, ""buyer_persona"": {""persona_detail"": ""Wants to launch own brand"", ""persona_category"": ""manufacturer""}}}, ""buyer_intent"": {""narrative"": ""Wants to start his own brand of diapers and is inquiring about manufacturing costs and slot availability for Bihar."", ""reasoning"": ""The buyer has a specific business goal (own brand) but is currently at the information-gathering stage (requesting price list)."", ""intent_level"": ""Medium""}, ""call_outcome"": {""category"": ""Follow-up"", ""conclusion_notes"": ""The seller will send the price list on WhatsApp for the buyer to review (WhatsApp pe price list bhej deta hoon).""}, ""call_purpose"": ""requirement"", ""all_languages"": [""Hindi"", ""English""], ""primary_language"": ""Hindi"", ""additional_details"": {""buyer_queries"": [{""query"": ""What are the rates for different sizes for my own brand?"", ""category"": ""Pricing"", ""sequence"": 1, ""answer_by_seller"": ""I will send you the price list on WhatsApp.""}], ""seller_queries"": [{""query"": ""Where are you calling from?"", ""category"": ""Location"", ""sequence"": 2, ""answer_by_buyer"": ""Currently in Delhi but looking for delivery in Bihar.""}]}, ""intended_application"": ""Own Brand Manufacturing""}, ""products"": [{""product_name"": ""Diaper"", ""specifications"": [{""name"": ""Manufacturing Type"", ""value"": ""Private Label/Own Brand"", ""buyer_requested"": true, ""seller_mentioned"": false}], ""related_categories"": [{""name"": ""Baby Diapers"", ""reason"": ""Diapers are commonly used for babies and frequently associated with this category.""}, {""name"": ""Diapering Products"", ""reason"": ""This is a broad category encompassing all diaper-related items.""}], ""is_buyer_interested"": true, ""most_specific_category"": {""name"": ""Diaper Third Party Manufacturing"", ""reason"": ""The buyer explicitly mentioned needing manufacturing for their own brand (apna brand banane pe), which aligns with third-party or private label manufacturing.""}}], ""next_steps"": {""buyer_next_steps"": [""To check the price list on WhatsApp""], ""seller_next_steps"": [""To share the price list on WhatsApp""]}, ""buyer_details"": {""buyer_name"": ""623f0b5584eb86d9f905e52679a9ce3bca0bd91a950a03e0eaa1b2f8bb3e9908""}, ""seller_details"": {}}"
3120868,3137693,1001263,31157,1970-01-01 00:00:00.000,"{""lead_tag"": {""deal_blockers"": [{""detail"": ""Buyer needs delivery in Delhi, seller is in Ahmedabad"", ""category"": ""Location""}], ""deal_readiness"": ""Warm"", ""deal_readiness_reason"": ""Buyer shared a specific requirement and took the seller's number for quotation but location logistics need finalization. ""}, ""metadata"": {""call_type"": {""type"": ""B2B"", ""reason"": ""The buyer is inquiring for a bulk quantity of 100 liters for commercial use, moving through professional transport logistics."", ""evidence"": {""order_type"": [""commercial"", ""bulk""], ""quantity_scale"": ""High""}}, ""buyer_intent"": {""narrative"": ""Buyer wants to purchase 100 liters of 99% pure Isopropyl Alcohol for delivery in Delhi."", ""reasoning"": ""Buyer provided specific volume and purity requirements and asked for a quotation after discussing pricing."", ""intent_level"": ""High""}, ""call_outcome"": {""category"": ""Follow-up"", ""conclusion_notes"": ""Buyer saved the seller's number and will send a text for the quotation (Abhi text kar raha hoon).""}, ""call_purpose"": ""requirement"", ""all_languages"": [""Hindi"", ""English""], ""primary_language"": ""Hindi"", ""additional_details"": {""buyer_queries"": [{""query"": ""What is the price per liter?"", ""category"": ""Pricing"", ""sequence"": 1, ""answer_by_seller"": ""150 per liter. ""}, {""query"": ""How will it be delivered to Delhi?"", ""category"": ""Delivery"", ""sequence"": 3, ""answer_by_seller"": ""It will be dispatched from Ahmedabad via transport. ""}, {""query"": ""Is this the 99.9% purity one?"", ""category"": ""Specifications"", ""sequence"": 5, ""answer_by_seller"": ""Yes, it is 99% pure. ""}], ""seller_queries"": [{""query"": ""How much quantity do you need?"", ""category"": ""Quantity"", ""sequence"": 2, ""answer_by_buyer"": ""100 liters. ""}, {""query"": ""Do you need fresh or recycled grade?"", ""category"": ""Specifications"", ""sequence"": 4, ""answer_by_buyer"": ""Fresh quality. ""}]}, ""intended_application"": ""Commercial Chemical Use""}, ""products"": [{""price"": {""value"": 150, ""currency"": ""INR"", ""price_unit"": ""liter"", ""buyer_price_reaction"": {""quote"": ""150 per liter"", ""category"": ""Accepted""}}, ""in_stock"": ""in stock"", ""product_name"": ""IPA (Isopropyl Alcohol)"", ""specifications"": [{""name"": ""Purity"", ""unit"": ""%"", ""value"": ""99"", ""buyer_requested"": true, ""seller_mentioned"": true}, {""name"": ""Grade"", ""value"": ""Fresh"", ""buyer_requested"": false, ""seller_mentioned"": true}], ""quantity_required"": {""unit"": ""liters"", ""value"": 100}, ""related_categories"": [{""name"": ""Chemical Solvent"", ""reason"": ""IPA is widely used as an industrial chemical solvent.""}], ""is_buyer_interested"": true, ""most_specific_category"": {""name"": ""Isopropyl Alcohol IPA"", ""reason"": ""The conversation explicitly mentions IPA 99.9%.""}, ""seller_accepts_quantity"": true}], ""next_steps"": {""buyer_next_steps"": [""To send a message on WhatsApp for the quotation""], ""seller_next_steps"": [""To share the quotation once the buyer texts on WhatsApp""]}, ""buyer_details"": {""buyer_name"": ""21262a3cb5337627b0fad9d891c16adb40706bd3e57534416dd02bbe5917d184"", ""buyer_location"": {""buyer_city"": ""New Delhi""}}, ""seller_details"": {""seller_location"": {""seller_city"": ""Ahmedabad""}, ""seller_mobile_number"": ""b1c6fc758a9b20f434a5b0446a62fbe6a9c27bdc552585bfb11f5525679bd63e""}}"
2284115,2300913,8436657,4167,1970-01-01 00:00:00.000,"{""payment"": {}, ""lead_tag"": {""deal_blockers"": [], ""deal_readiness"": ""Warm"", ""deal_readiness_reason"": ""The intent is clear as the buyer is asking for quotations but the seller is currently busy driving.""}, ""metadata"": {""call_type"": {""type"": ""B2B"", ""reason"": ""The request for a quotation and the formal inquiry through a B2B platform suggests a retail or wholesale interest rather than a single personal purchase."", ""evidence"": {""keywords"": [""Quotation""], ""order_type"": {""order_type_category"": ""commercial""}, ""repeat_buyer"": false, ""buyer_persona"": {""persona_category"": ""retailer""}}}, ""buyer_intent"": {""narrative"": ""Wants to purchase diapers and is seeking a quotation from the supplier."", ""reasoning"": ""The buyer has a specific product in mind and is sharing contact details to receive a quote."", ""intent_level"": ""Medium""}, ""call_outcome"": {""category"": ""Follow-up"", ""conclusion_notes"": ""Seller will send the quotation later as they were driving during the call (Quotation bhejta hoon driving kar raha hoon).""}, ""call_purpose"": ""requirement"", ""all_languages"": [""Hindi"", ""English""], ""primary_language"": ""Hindi"", ""additional_details"": {""buyer_queries"": [{""query"": ""What is the price or quotation for the diapers?"", ""category"": ""Pricing"", ""sequence"": 1}], ""seller_queries"": []}}, ""products"": [{""in_stock"": ""in stock"", ""product_name"": ""Diaper"", ""specifications"": [], ""related_categories"": [{""name"": ""Baby Diapers"", ""reason"": ""Diapers are commonly associated with baby care.""}, {""name"": ""Adult Diapers"", ""reason"": ""The product category includes variations for adults as well.""}], ""is_buyer_interested"": true, ""most_specific_category"": {""name"": ""Diaper"", ""reason"": ""The buyer explicitly asked for diapers, which is the most generic and accurate term provided in the category list.""}}], ""next_steps"": {""buyer_next_steps"": [""To share the active WhatsApp number or message on IndiaMART""], ""seller_next_steps"": [""To share the quotation on WhatsApp once finished driving""]}, ""buyer_details"": {""buyer_name"": ""4607f49e6986415fa0c208500f0f10a77999c00c9b78f7fe78235f55f2413da4"", ""buyer_location"": {""buyer_city"": ""Jaipur""}, ""buyer_mobile_number"": ""946cbc049887d9e41207d429cd1f90a2f2336d994134f113f639aa73557a66e3""}, ""seller_details"": {""seller_name"": ""602d3d0ab5e96a205221e5a0ea2e85b4d8aee8562a064533e95591f94d2df19e"", ""seller_location"": {""seller_city"": ""New Delhi""}}}"
