table,name,type,default_expression,comment
actionables,id,Int64,,
actionables,is_active,Bool,,
actionables,created_at,"DateTime64(3, 'UTC')",,
actionables,created_by,String,,
actionables,updated_at,"DateTime64(3, 'UTC')",,
actionables,updated_by,String,,
actionables,action_text,String,,
actionables,participant_id,Int64,,
file_extraction_logs,id,Int64,,
file_extraction_logs,file_id,Int64,,
file_extraction_logs,is_active,Bool,,
file_extraction_logs,created_at,"DateTime64(3, 'UTC')",,
file_extraction_logs,created_by,String,,
file_extraction_logs,updated_at,"DateTime64(3, 'UTC')",,
file_extraction_logs,updated_by,String,,
file_extraction_logs,extracted_at,"DateTime64(3, 'UTC')",,
file_extraction_logs,model_version,String,,
file_extraction_logs,llm_extracted_json_masked,String,"replaceRegexpAll(replaceRegexpAll(replaceRegexpAll(replaceRegexpAll(llm_extracted_json, '(""buyer_name""\\s*:\\s*)(?:""[^""]*""|[^,}\\]\\s]+)', concat('\\1""', lower(hex(SHA256(lowerUTF8(trimBoth(JSON_VALUE(llm_extracted_json, '$.buyer_details.buyer_name')))))), '""')), '(""buyer_mobile_number""\\s*:\\s*)(?:""[^""]*""|[^,}\\]\\s]+)', concat('\\1""', lower(hex(SHA256(toString(JSON_VALUE(llm_extracted_json, '$.buyer_details.buyer_mobile_number'))))), '""')), '(""seller_name""\\s*:\\s*)(?:""[^""]*""|[^,}\\]\\s]+)', concat('\\1""', lower(hex(SHA256(lowerUTF8(trimBoth(JSON_VALUE(llm_extracted_json, '$.seller_details.seller_name')))))), '""')), '(""seller_mobile_number""\\s*:\\s*)(?:""[^""]*""|[^,}\\]\\s]+)', concat('\\1""', lower(hex(SHA256(toString(JSON_VALUE(llm_extracted_json, '$.seller_details.seller_mobile_number'))))), '""'))",
file_metadata,id,Int64,,
file_metadata,is_b2b,Bool,,
file_metadata,file_id,Int64,,
file_metadata,is_active,Bool,,
file_metadata,languages,Array(String),,
file_metadata,created_at,"DateTime64(3, 'UTC')",,
file_metadata,created_by,String,,
file_metadata,updated_at,"DateTime64(3, 'UTC')",,
file_metadata,updated_by,String,,
file_metadata,file_intent,String,,
file_metadata,file_duration_sec,Int32,,
file_types,id,Int64,,
file_types,file_desc,String,,
file_types,file_type,Int32,,
file_types,is_active,Bool,,
file_types,created_at,"DateTime64(3, 'UTC')",,
file_types,created_by,String,,
file_types,updated_at,"DateTime64(3, 'UTC')",,
file_types,updated_by,String,,
files,id,Int64,,
files,src_mcat_id,Int32,,
files,file_type,Int32,,
files,content_hash,String,,
files,file_url,String,,
files,created_by,String,,
files,created_at,"DateTime64(3, 'UTC')",,
files,updated_by,String,,
files,updated_at,"DateTime64(3, 'UTC')",,
files,is_active,Bool,,
participant_details,id,Int64,,
participant_details,participant_id,Int64,,
participant_details,locality,String,,
participant_details,city,String,,
participant_details,state,String,,
participant_details,country,String,,
participant_details,created_by,String,,
participant_details,created_at,"DateTime64(3, 'UTC')",,
participant_details,updated_by,String,,
participant_details,updated_at,"DateTime64(3, 'UTC')",,
participant_details,is_active,Bool,,
participant_details,name_hash,FixedString(32),SHA256(lowerUTF8(trimBoth(name))),
participant_details,mobile_number_hash,FixedString(32),SHA256(toString(mobile_number)),
participants,id,Int64,,
participants,file_id,Int64,,
participants,user_glid,Int32,,
participants,user_role,String,,
participants,created_by,String,,
participants,created_at,"DateTime64(3, 'UTC')",,
participants,updated_by,String,,
participants,updated_at,"DateTime64(3, 'UTC')",,
participants,is_active,Bool,,
product_categories,id,Int64,,
product_categories,is_active,Bool,,
product_categories,created_at,"DateTime64(3, 'UTC')",,
product_categories,created_by,String,,
product_categories,product_id,Int64,,
product_categories,updated_at,"DateTime64(3, 'UTC')",,
product_categories,updated_by,String,,
product_categories,category_name,String,,
product_categories,category_mcat_id,Int32,,
product_categories,is_most_specific_category,Bool,,
product_price,id,Int64,,
product_price,unit,String,,
product_price,amount,String,,
product_price,currency,String,,
product_price,is_active,Bool,,
product_price,created_at,"DateTime64(3, 'UTC')",,
product_price,created_by,String,,
product_price,product_id,Int64,,
product_price,updated_at,"DateTime64(3, 'UTC')",,
product_price,updated_by,String,,
product_quantity,id,Int64,,
product_quantity,is_active,Bool,,
product_quantity,created_at,"DateTime64(3, 'UTC')",,
product_quantity,created_by,String,,
product_quantity,product_id,Int64,,
product_quantity,updated_at,"DateTime64(3, 'UTC')",,
product_quantity,updated_by,String,,
product_quantity,quantity_unit,String,,
product_quantity,quantity_value,String,,
product_specs,id,Int64,,
product_specs,is_active,Bool,,
product_specs,spec_name,String,,
product_specs,spec_unit,String,,
product_specs,created_at,"DateTime64(3, 'UTC')",,
product_specs,created_by,String,,
product_specs,product_id,Int64,,
product_specs,spec_order,Int32,,
product_specs,spec_value,String,,
product_specs,updated_at,"DateTime64(3, 'UTC')",,
product_specs,updated_by,String,,
products,id,Int64,,
products,name,String,,
products,file_id,Int64,,
products,in_stock,String,,
products,is_active,Bool,,
products,created_at,"DateTime64(3, 'UTC')",,
products,created_by,String,,
products,updated_at,"DateTime64(3, 'UTC')",,
products,updated_by,String,,
