glcat_mcat_id,glcat_mcat_name,glcat_mcat_is_quantity_enabled,glcat_mcat_is_product
114029,Nitrogen Pumping Unit,2,P
119135,CNC Job Work,,S
119170,Fluorescent Board,,S
131647,Media Services,0,S
138133,Tetra Pak Packaging Solutions,,S
140223,Etched Glass Work,,S
143081,Wood Dust Collecting Machine,2,P
144432,Swimming Pool Maintenance Services,0,S
144666,Cutting Machine Repair Service,,S
146529,Pharmaceutical Water System,2,P
146695,CNC Turning JobWork Services,,S
147225,Generator Repair Services,,S
231519,Commercial Construction Plaster Mason Service,,S
231541,Store Branding Designing Service,,S
231552,Saloon Interior Design,,S
231777,Registered Office Address Facility,,S
231931,Diesel Electric Generator Repair Service,,S
232144,Eddy Current Testing Inspection Service,,S
232150,Kitchen Chimney Repair Service,,S
232755,Fire Diesel Pump Service,,S
233607,Pharmaceutical Manufacturing Granulation Service,,S
233630,Emami Distributor Service,,S
233907,Pvc False Ceiling Work Service,,S
234897,Residential Steel Building,,S
235698,Marble Naag Devta Statue,2,P
108470,Express Mail Service,,S
116777,Social Research Services,0,S
119249,Roller Kiln,2,P
126176,ECP Machine,2,P
131745,Vacuum Cooker,2,P
132662,Hydraulic Cage Lift,2,P
132965,Land Promotion Services,0,S
132968,Isocratic Analytical System,2,P
134095,Conveyor Turntable,2,P
135790,Thermal Insulation Services,,S
136628,Metal Sublimation,2,P
139148,Insulated Vessel,2,P
144165,Poultry Feed Making Machine,2,P
226767,Portable Dental X Ray Machine,2,P
227352,Living Room Interior Designing Service,,S
230469,Vrv Ac Repairing Service,,S
230587,Amc Report Service,,S
230599,Amc Machine Maintenance Service,,S
230661,Loto Auditing Service,,S
230866,New Bathroom Waterproofing Service,,S
230868,Bed Bug Pest Control Service,,S
231793,Lic Crm Special Website Design Service,,S
231928,Cooper Diesel Generator Rental,,S
232097,Dynamic E Commerce Website Designing Service,,S
232181,Electrical Scissor Lift Rental Service,,S
2016,Paper Making Machines,2,P
11015,Industrial Microscope,2,P
12843,Box Oven,2,P
12847,Digital LCR Meter,2,P
15611,Hydraulic Forklift,2,P
19098,Sliding Vane Pump,2,P
22281,B2C Solutions,0,S
23356,Car Elevator,2,P
143822,Hydraulic Car Parking System,2,P
144928,Animal Feed Mill Plant,2,P
145225,Shore Hardness Tester,2,P
145709,Photocatalytic Reactor,2,P
147152,M&A Advisory Services,0,S
147180,Circuit Breaker Testing,0,S
147199,Digital Turbidity Meter,2,P
147533,Soya Nugget Machine,2,P
148140,Turnkey Mineral Water Project,0,S
151987,White Marble Temple,2,P
154344,C Arm Machine,2,P
155638,Pulses Sorting Machine,2,P
155768,White Light Scanning Services,0,S
159736,Liquid Seed Treater,2,P
162575,Water Purifier Rental Services,,S
162585,Jewelry Engraving Service,,S
164721,Basement Waterproofing Services,0,S
165649,Network Assessment Services,0,S
233635,Confectionery Distributor,,S
233822,Project Consultancy Plastic Industry Service,,S
234800,Solar Power Plant Operation Maintenance Service,,S
235201,Trademark Registration Consultant Service,,S
235347,Mineral Water Project Work,,S
236298,Aluminum Duct Fabrication Service,,S
238601,Pipe Epoxy Pu Coating Service,,S
242421,App Erp Software Development Service,,S
244646,Aluminium Welding Service,,S
26545,Dirt Bike,2,P
27598,Electrical Distribution System,2,P
31693,Management Control System,0,S
37841,Signal Analyzers,2,P
39684,Tele Servicing,0,S
39849,Wood Working Machines,2,P
40757,Vacuum Excavators,2,P
42985,Industrial Electrification,,S
43062,Computer Hardware Services,0,S
43065,Printer Repair & Maintenance Services,0,S
43094,Vehicle Loan,0,S
44110,Multi Play Station,2,P
55905,Waste Recycling Plant,2,P
64794,Truck Diesel Turbocharger,2,P
175877,Thin Film Coating Services,,S
175997,Airport Taxi,0,S
176132,Waste Tyre Pyrolysis Plant Services,,S
176374,Guniting Services,0,S
176555,Organization Audit,,S
177502,Online Taxation Classes,0,S
177699,Fine Art Painting Course,0,S
177735,X Ray Baggage Scanner,2,P
177840,Digital Camera Repairing Course,0,S
179001,Panasonic Refrigerator,2,P
55682,Dust Removal Machines,2,P
69590,Designer Jersey,0,S
69640,Hot Air Welder,2,P
72920,Power Bike,2,P
80758,Printers for Office,2,P
85580,Curing Press,2,P
88511,Industrial Property,0,S
99941,Cap Heat Press,2,P
192701,Samsung Projector,2,P
193644,Crompton Pressure Pumps,2,P
194843,Second Hand Dressing Table,2,P
68660,Digital Spectrophotometer,2,P
73474,Riding Mower,2,P
74291,Portable Weigh Beam,2,P
78466,Excavation Service,,S
87925,Cultural Tour,0,S
102236,Coir Pith Dryer,2,P
191380,Hydraulic Servo Valves,2,P
193077,Paharpur Cooling Towers,2,P
193321,Tanishq Diamond Bangles,2,P
203396,Atlas Copco Oil Free Air Compressor,2,P
203686,Ashok Leyland Portable Generator,2,P
30460,Laser Tubes,2,P
31370,Knuckle Boom Cranes,2,P
32669,News Syndicates,,S
33925,Paint Pumps,2,P
35758,Private Schools,0,S
36085,Rail Cargo,,S
36174,Refrigeration Cabinets,2,P
42664,Geotechnical Investigation Services,,S
157,Screw Conveyors,2,P
2724,Vending Machine,2,P
12777,Diamond Bangles,2,P
14564,Bending Roll,2,P
52916,Laminated Yoke DC Motor,2,P
164889,Rotary Microtome,2,P
22311,Beveling Machine,2,P
25141,Coffee Machine,2,P
25807,Contact Angle Meter,2,P
27258,Electric Golf Cart,2,P
141910,Metal Mandap,2,P
146146,Brick Testing Services,0,S
146408,Farm Tillers,2,P
146853,Intellectual Property Right Services,0,S
148891,Control Panel Fabrication,,S
149070,Magnet Charger,2,P
150670,Vegetable Oil Refinery Plant,2,P
156328,Rail Shipping Services,,S
157328,Package Printing Services,0,S
158446,Metal Sheet Straightening Machine,2,P
161003,Samples Management Software,2,P
164501,Biscuit & Cookies Dropping Machine,2,P
164644,Bar Tacking Machine,2,P
242514,Commercial Software Service,,S
250657,Tekla 3D Modeling Design Service,,S
19503,Trough Belt Conveyor,2,P
20579,Medical Surgery Services,0,S
22324,Beverage Vending Machines,2,P
23747,Botanical Gardens,0,S
25303,Credit Unions,,S
6418,Flat Lapping Machine,2,P
6624,Fruit Processing Machinery,2,P
8347,Material Testing Services,0,S
9936,Mechanical Weighbridge,2,P
13834,Dry Vacuum Pump,2,P
21350,Agricultural Properties,0,S
23847,Bright Nickel Plating,,S
24031,Chest Coolers,2,P
24432,Carbon Dioxide Incubator,2,P
25204,Cash Dispensing Machines,2,P
25333,Data Bank,0,S
29303,Gas Tanks,2,P
151962,Ginger Peeling Machine,2,P
153733,Water Ionizer Machine,2,P
154794,Remote Sensing Services,,S
156291,Medical Ultrasonic Cleaner,2,P
156467,Duct Fabrication Service,,S
158706,Casting Impregnation Services,,S
159331,Steam Drum,2,P
162810,Bag Manufacturing Service,,S
164185,Converter Duty Transformer,2,P
166980,Business Intelligence Services,0,S
167977,Turnkey Project Consultants,0,S
168035,Technology Solution Provider,0,S
168079,AC Motor Repairing,,S
168475,Plant Audits Service,,S
168813,College Catering Services,0,S
168998,Project Assessment Services,,S
169434,Live Chat Support,0,S
169701,Technical Infrastructure Service,,S
169777,Web Data Extraction,0,S
169935,B2B Integration Service,,S
170193,Data Backup Services,0,S
170338,Data Warehouse Maintenance,,S
170359,Designer Foil Printing Services,,S
170399,Door Construction Service,,S
170527,Fuel Testing Service,0,S
170781,SA-8000 Certification Services,0,S
170813,Self Leveling Flooring Service,,S
170864,Sound Insulation Services,0,S
170884,Steam Iron Service,,S
171066,Tax Returns Processing,,S
171269,Ambulance Interior Fabrication,2,S
171392,Cloud Testing Service,0,S
171426,Container Shipping Service,,S
171445,Corridor Designers,,S
172043,Trade Risk Management,,S
172234,Liaison Consulting Service,0,S
172714,SS Vessel Fabrication Service,,S
172919,Refrigerated Cargo Services,,S
173407,IT On-Demand Services,,S
173803,Cost Cutting Services,,S
173924,Desktop Security Service,0,S
174332,CNC MDF Cutting Service,,S
175264,Solar Street Light Solutions,,S
175392,Electro Mechanical Maintenance Services,,S
175667,EHV Cable Laying Work,,S
176099,Pneumatic Tyre Roller Rental,2,S
176619,Bearing Maintenance,,S
176834,Line Of Sight Surveys,0,S
250693,Mechanical Civil Autocad Design,,S
261113,Outsource Hvac Ducting Design,,S
262148,Iron Door Frame Fabrication Work,,S
262752,Hawai Bottom Laser Cutting Service,,S
416980,Two Way Road Construction Service,,S
5126,Milk Processing Plant and Machines,2,P
5352,EMC Testing Services,0,S
20545,Nickel Electroplating,,S
20645,Industrial Water Tanks,2,P
22829,Banking Law Attorneys,0,S
24773,Chamfering Machine,2,P
25065,Machining Center,2,P
25718,Compression Presses,2,P
147220,Cargo Booking Services,,S
148299,Legal Consultants,0,S
148391,Stone Splitting Machine,2,P
151889,Transformer Parts Job Work,,S
152445,Floating Structures,2,P
153030,Drop Forging Hammer,2,P
154634,Interior Painting Services,0,S
155910,Obstetrician Consultation,0,S
156945,Vision Screener,2,P
158806,Electrical Kiosk,2,P
163220,Motor Inspection Services,,S
167107,Fiber Wrapping Services,0,S
168281,Contract Logistics Service,,S
168462,Outdoor Banner Services,0,S
168568,Underwater Ship Repairs,,S
168591,Business Centre Services,0,S
168672,Unified Management Service,,S
168782,Budget Planning Services,,S
169208,Chemical Base Waterproofing Service,,S
169220,CNC Milling Service,,S
169448,Marriage Counseling Services,0,S
169519,Patient Care Taker Service,0,S
169532,Plant Piping Services,0,S
242446,Bizmate Mobile Development,,S
244611,Desktop Software Solution,,S
244616,Healthcare Software Development,,S
250653,3D Cad Design Job Consultancy Service,,S
250656,3D Max Cad Designing Service,,S
250706,Cad Valve Drawing Service,,S
332833,Centerline Medical Service,,S
405624,Industrial Pipeline Guniting Work,,S
25320,Dancing Fountains,2,P
26906,Drum Crushers,2,P
28901,Forestry Engineers,,S
32916,Nut Former,2,P
34343,Pimples Treatment,0,S
36881,Rotary Drum Filters,2,P
38772,Stress Relief,0,S
42482,Casino Table Rental,,S
42680,Synchronization Panels,2,P
43044,Bookkeeping Outsourcing,0,S
43556,Pump Testing Equipment,2,P
44005,Boiler,2,P
44014,CNC Bending Services,,S
45989,Online Survey Service,0,S
166636,Hematocrit Centrifuges,2,P
168288,Corporate Flash Presentation Services,,S
168441,Mobile Website Service,0,S
168572,Vigilance Security Services,0,S
168595,Medicine Drop Shippers,0,S
168749,Air Consolidation Services,,S
168875,Experiential Marketing Services,0,S
168988,Pollution Monitoring Services,,S
169067,Window Tinting Services,,S
169295,Digital Dress Printing,,S
169324,Engineering Analysis Services,,S
169340,Fiber Connectivity Solutions,0,S
169463,Mobile Field Hospitals,,S
169722,Tin Plate Advertising Services,,S
170001,Business Facilitation Service,0,S
170119,Container Transport Service,,S
170288,Hill Station Packages,0,S
65133,CNC Machining Centre,2,P
68071,Indoor VCB Panel,2,P
73207,Exercise Machine,2,P
84853,Designer Pot,,S
88516,Link Building Service,0,S
94671,Dental Autoclave,2,P
101897,Therapeutic Service,0,S
111164,Injection Molding Machine Controller,2,P
122454,Notebook Making Machines,2,P
127544,Pillar Mounted Jib Crane,2,P
129033,Sewage Suction Truck,2,P
132887,Gearless Motor,2,P
136727,Gold Testing Services,0,S
137573,Cut Out Signage,,S
138061,Vibro Cleaner,2,P
138873,Spark Plug Cleaner,2,P
141010,Table Top Centrifuge,2,P
142730,Feeding Conveyor,2,P
143420,Planter Machine,2,P
144513,Antenna Trainer Kits,2,P
145594,Pharmaceutical Packaging Services,,S
146434,Component Cleaning Machine,2,P
220933,Incline T-Bar,2,P
116338,Wireless Data Service,,S
131642,Bank Security Services,0,S
132971,Glass Cladding,0,S
135748,Sewage Treatment,,S
137334,Blast Freezing Services,0,S
138425,Certificate Printing Services,0,S
139362,Paddy Reaper,2,P
139876,Seal Packaging Machine,2,P
142872,Cleanroom Services,0,S
143790,Engine Oil Recycling Machine,2,P
144870,Groundwater Exploration Services,,S
30479,Laundry Equipment,2,P
31601,LIC Agent,0,S
33344,Metal Forming Presses,2,P
37047,Soil Stabilization,,S
37139,School Signs,,S
37595,Semiconductor Processing Equipment,2,P
38866,Storage Vessels,2,P
42139,Printing Solutions,,S
44236,Mandap Decoration,,S
68083,Car Parking Lift,2,P
177777,Marble Tulsi Stand,2,P
179720,Two Stage Water Ring Vacuum Pumps,2,P
180413,Website Management Service,0,S
26651,Digital Printing Service,0,S
28189,Fabrication Drawing,0,S
28588,Flexographic Printing Presses,2,P
31779,Material Handling Systems,2,P
33026,Oil Purifier,2,P
35772,Product Photography,,S
40201,Transport Chains,,S
42914,Thermal Calibration Services,0,S
43017,Event Management Services,0,S
43665,Sailing Boats,2,P
43865,Joint Venture Consultants,0,S
44242,Pacemaker Surgery,0,S
44745,Pressure Reducing Station,2,P
44775,Youth Empowerment Programs,0,S
169564,Project Management Outsourcing Services,0,S
169605,RF Survey Service,0,S
169636,Shirts Printing Services,0,S
170316,Dairy Farming Consultancy,,S
170331,Data Porting Services,,S
170510,Foreign Exchange Assistance,0,S
170992,Payment Collection Services,0,S
171119,Transit Escort Services,0,S
171237,Absence Management Service,,S
171320,Banking Software Service,0,S
171887,IT Offshore Service,,S
172033,Strategic Resources Service,,S
172671,Sliding Gate Fabrication,,S
172722,Steel Windows Fabrication,,S
173056,Backstage Management,0,S
173076,Hair Styles Services,,S
173086,Aluminum Door Repair,,S
173375,Write Up Services,,S
173941,Cut Work Embroidery,0,S
173980,CO2 Laser Cutting Service,,S
174195,Article Directory Submission Services,,S
174508,Field Marketing Services,0,S
56269,Insulated Furnace,2,P
69690,Wood Planer,2,P
74257,Magnetic Yoke,2,P
78379,Chemical Liquid Tanker,2,P
80159,Computer Printing Label,,S
88520,Paying Guest Accommodations,0,S
102053,Embossed Printing,0,S
105093,Crawler Vehicle,2,P
188785,Turbine Blade Inspection,,S
189115,Boat Davit,2,P
190728,Diesel Bowser,2,P
191336,Software & Programming Services,0,S
111425,Interactive Advertising,0,S
111430,NHM Subsidy Consultation,0,S
119306,Vacuum Controller,2,P
123844,Bioreactor,2,P
129780,Transit Insurance Services,0,S
135674,Package Steam Boiler,2,P
140804,Surface Finishing Machine,2,P
142281,Snack Food Fryer,2,P
144970,Plastic Printing Machine,2,P
145586,Metal Packaging Services,,S
146142,Harmonic Solutions,,S
146396,Polyester Cord Lashing Services,,S
146436,Customized Washing Machine,2,P
220559,Plywood Dipping Machine,2,P
223008,Electric Rickshaw Rental,,S
1129,Analytical Balances,2,P
17569,Sound Equalizer,2,P
22545,Battery Booster,2,P
24565,Carburizing Furnace,2,P
150504,Machine Cladding,2,P
151251,Twin Lobe Roots Blower,2,P
151398,Fire Extinguisher Maintenance Services,0,S
151927,Bag Cleaning Machine,2,P
152552,Handheld XRF Metal Analyzer,2,P
159064,Rice Pulverizer,2,P
