logged_at,offer_id,trace_id,item_name,mcat_name,price,specs_category_outlier_status,specs_category_outlier_reason,title_category_outlier_status,title_category_outlier_reason,photo_category_outlier_status,photo_category_outlier_reason,photo_title_verdict,photo_title_verdict_reason,title_spec_verdict,title_spec_verdict_reason,price_flag_verdict,price_flag_reason,retail_classification,retail_classi_score,retail_confidence,retail_override_applied,retail_reason,retail_error,price_agent_result,price_agent_score,price_agent_confidence,price_value_by_ai,price_agent_reason,price_error,buyer_profile_genuineness,buyer_profile_score,buyer_profile_confidence,buyer_profile_reason,buyer_profile_error
2026-05-11 15:59:45,143972122567,143972122567_20260511_155934,250gm Dryfruits Packaging Plastic Jar - PET,PET Jars,0,not_outlier,The product specifications mentioning '250 Jar' and 'Usage: Dry Fruits' are consistent with the category name 'PET Jars'.,not_outlier,The product title '250gm Dryfruits Packaging Plastic Jar' is consistent with the category name 'PET Jars'.,not_outlier,The primary object 'plastic jar' is consistent with the category name 'PET Jars'.,not_outlier,,not_outlier,The product title '250gm Dryfruits Packaging Plastic Jar' aligns with the product specifications that include '250 Jar' and 'Usage: Dry Fruits'.,outlier,Price Absurd,RETAIL,0.6,Medium,No,"Neutral category (packaging) and quantity (200) leans Non-Retail, but marketplace signals (60% wholesaler) and evidence count (2) lean Retail, resulting in a mixed signal.",,Unverifiable,0.0,Low,₹ 0.0 - ₹ 0.0,No reference price data available for this category and unit.,,Unverifiable,,None,No prior product enquiries available — cannot assess relatedness to the current BuyLead.,
2026-05-11 15:59:56,143958599767,143958599767_20260511_155945,PET Jars,PET Jars,0,not_outlier,Product specifications are consistent with the category 'PET Jars'.,not_outlier,Product title 'PET Jars' matches the category name 'PET Jars'.,not_outlier,Primary object 'PET Jars' aligns with the category name 'PET Jars'.,not_outlier,,not_outlier,Product title 'PET Jars' is consistent with the product specifications.,outlier,Price Absurd,RETAIL,0.8,Medium,No,PET Jars are typically retail-oriented packaging. Quantity is small. Marketplace signals lean retail.,,Unverifiable,0.0,Low,₹ 115.20 - ₹ 172.80,Order_Value missing; cannot verify against AI range. Reference price data insufficient.,,Genuine,1.0,Low,The enquired product '500ml Plastic Pickle Jar' is the same category as the BuyLead 'PET Jars'.,
2026-05-11 16:00:07,143971360752,143971360752_20260511_155956,PET Jar,PET Jars,0,not_outlier,"The product specifications are consistent with the 'PET Jars' category, as they describe attributes relevant to jars.",not_outlier,The product title 'PET Jar' is consistent with the category name 'PET Jars'.,not_outlier,The primary object 'PET Jar' aligns with the category name 'PET Jars'.,not_outlier,,not_outlier,The product title 'PET Jar' is consistent with the provided specifications.,outlier,Price Absurd,NON-RETAIL,0.6,Medium,No,"Category is neutral, but quantity is high for retail. Wholesaler purchases are higher than retailer purchases.",,Correct,0.8,High,₹ 280.0 - ₹ 385.0,"BL data usable, price within expected range, medium deviation.",,Genuine,1.0,Low,"The buyer enquired about 'Pet Jar', which is the same category as the current BuyLead 'PET Jar'.",
2026-05-11 16:00:18,143972649785,143972649785_20260511_160007,Phenyle Bottle,Phenyl Bottles,0,not_outlier,The product specifications describing a bottle align with the category name 'Phenyl Bottles'.,not_outlier,The product title 'Phenyle Bottle' is consistent with the category name 'Phenyl Bottles'.,not_outlier,The primary object 'Phenyle bottle' directly matches the category name 'Phenyl Bottles'.,not_outlier,,not_outlier,The product title 'Phenyle Bottle' is consistent with the product specifications mentioning quantity and capacity.,outlier,Price Absurd,RETAIL,0.8,Medium,No,Phenyl bottles are typically retail-oriented. Quantity is moderate. Retailer purchases dominate. Classification leans Retail.,,Unverifiable,0.0,Low,₹ 0.00 - ₹ 0.00,No reference price data for category-unit as per Price Match: no_data.,,Genuine,1.0,Low,1/1 enquired products are the SAME CATEGORY as the current BuyLead.,
2026-05-11 16:00:30,143993884375,143993884375_20260511_160018,PET Kitchen Jar,PET Jars,0,not_outlier,"The product specifications, including 'Capacity: 250 g' and 'Shape: Hexagonal', are consistent with items found in the 'PET Jars' category.",not_outlier,The product title 'PET Kitchen Jar' is a type of product sold within the 'PET Jars' category.,not_outlier,The primary object 'PET jar with lid' directly corresponds to the category name 'PET Jars'.,not_outlier,,not_outlier,"The product title 'PET Kitchen Jar' aligns with the specifications which describe a 'PET' jar with a '250 g' capacity, suitable for 'Dry Fruits'.",outlier,Price Absurd,NON-RETAIL,0.8,High,No,PET Jars are neutral category. High quantity (1000) and wholesaler purchase share (75.7%) lean towards Non-Retail.,,Correct,0.8,High,"₹ 900.0 - ₹ 1,170.0","Buyer range overlaps AI range with moderate deviation, BL data was usable.",,Unverifiable,,None,Buyer profile classification failed; see buyer_error.,Expecting value: line 1 column 1 (char 0)
2026-05-11 16:00:41,143997693352,143997693352_20260511_160030,PET Jar for Spices Packing,PET Jars,0,not_outlier,The product specifications detailing jar quantity and capacity align with the category name 'PET Jars'.,not_outlier,The product title 'PET Jar for Spices Packing' is consistent with the category name 'PET Jars'.,not_outlier,The primary object 'PET Jar' directly matches the category name 'PET Jars'.,not_outlier,,not_outlier,The product title 'PET Jar for Spices Packing' is consistent with the product specifications that include 'Usage: Spices Packing' and jar quantities and capacities.,outlier,Price Absurd,RETAIL,0.6,Medium,No,"PET Jars are neutral packaging, but high quantity (500) and retailer purchase share (67%) lean towards retail.",,Unverifiable,0.0,Low,Unverifiable,"No reference price data available (median=0, price_match=no_data).",,Genuine,1.0,Low,1 out of 1 enquired product ('Pet Jar For Cookies And Dryfruits') is of the same category (PET Jars).,
2026-05-11 16:00:53,143973486867,143973486867_20260511_160041,250gm & 400gm Square PET Jar with PP Square Cap,PET Jars,0,not_outlier,The product specifications mentioning 'Capacity: 250 g' and 'Shape: Square' are consistent with the category name 'PET Jars'.,not_outlier,The product title 'Square PET Jar' is consistent with the category name 'PET Jars'.,not_outlier,The primary object 'square PET jar with a square cap' is consistent with the category name 'PET Jars'.,not_outlier,,not_outlier,The product title 'Square PET Jar' aligns with the product specifications detailing 'Shape: Square' and capacity.,outlier,Price Absurd,NON-RETAIL,0.6,Medium,No,"Neutral category nature, high quantity leans non-retail. Wholesaler purchases and NI signal dominance.",,Correct,0.8,High,₹ 720.0 - ₹ 936.0,"AI range overlaps buyer order value, deviation within tolerance.",,Suspicious,0.4,Medium,"2 of 5 enquiries are related (PET Jars), but 3 are unrelated (Neti Pots).",
2026-05-11 16:01:04,143992774459,143992774459_20260511_160053,"Liquid Phenyl, Multipurpose, Bottle",Phenyl Bottles,0,not_outlier,The product specifications mentioning 'Bottle' and '1 Litre' are consistent with the category name 'Phenyl Bottles'.,not_outlier,"The product title 'Liquid Phenyl, Multipurpose, Bottle' directly corresponds to the category 'Phenyl Bottles'.",not_outlier,The primary object 'Bottle of liquid' is consistent with the category name 'Phenyl Bottles'.,not_outlier,,not_outlier,"The product title 'Liquid Phenyl, Multipurpose, Bottle' is consistent with product specifications including 'Bottle' and '1 Litre'.",outlier,Price Absurd,NON-RETAIL,0.8,High,No,"Category 'Phenyl Bottles' is neutral. High quantity (10000 bottles) beyond retail stocking levels implies B2B distribution/resale, leaning Non-Retail.",,Unverifiable,0.0,Low,N/A,No reference price data for this category-unit; cannot establish AI range.,,Genuine,1.0,High,"All 5 previous enquiries are directly related to Phenyl bottles and liquid phenyl, matching the current BuyLead's category and title.",
2026-05-11 16:01:16,143965501375,143965501375_20260511_160104,500 g Black Cap Round PET Jar,PET Jars,0,not_outlier,"The product specifications, including 'Capacity: 500 g' and 'Shape: Round', are consistent with products belonging to the 'PET Jars' category.",not_outlier,The product title '500 g Black Cap Round PET Jar' accurately reflects the category 'PET Jars'.,not_outlier,The primary object 'PET Jar with Black Cap' directly corresponds to the category name 'PET Jars'.,not_outlier,,not_outlier,"The product title '500 g Black Cap Round PET Jar' is consistent with the specifications, particularly 'Capacity: 500 g' and 'Shape: Round'.",outlier,Price Absurd,NON-RETAIL,0.8,High,No,"PET Jars for 1000 pcs is high quantity for retail, strongly signaling wholesale/bulk purchase.",,Correct,0.8,High,"₹ 11,812.00 - ₹ 15,388.00","AI range overlaps with buyer order value, within 20% deviation. BL data used.",,Genuine,1.0,Low,Enquired product '300 Ml Black Cap Round PET Jar' is in the same category (PET Jars) as the current BuyLead.,
2026-05-11 16:01:27,143943575585,143943575585_20260511_160116,500 g Capacity Empty PET Jar,PET Jars,0,not_outlier,"Product specifications such as 'Capacity: 500 g', 'Shape: Round', and 'Usage: Honey' are all relevant to products within the 'PET Jars' category.",not_outlier,The product title '500 g Capacity Empty PET Jar' clearly indicates a product belonging to the 'PET Jars' category.,not_outlier,The primary object 'empty PET jar' directly corresponds to the category name 'PET Jars'.,not_outlier,,not_outlier,Product title '500 g Capacity Empty PET Jar' is directly supported by specifications including 'Capacity: 500 g' and details about the jar's shape and usage.,outlier,Price Absurd,RETAIL,0.8,High,No,PET Jars are generally retail-oriented. Quantity (50) and retailer purchase share (80%) strongly signal retail intent.,,Unverifiable,0.0,Low,₹ 0 - ₹ 0,No reference price data for category-unit. Cannot establish AI range.,,Unverifiable,,None,Buyer profile classification failed; see buyer_error.,Expecting value: line 1 column 1 (char 0)
