eto_ofr_display_id,fk_glcat_mcat_id,glcat_mcat_name,glcat_mcat_is_business_type,eto_ofr_qty,eto_ofr_qty_unit,Unit ID,final_predicted_tov(frontend),ml_predicted_tov,eto_ofr_approx_order_val_mapp,retail_flag,ml_predicted_tov_pop_q1,ml_predicted_tov_pop_median,ml_predicted_tov_pop_q3,Retail Threshold
135981593295,106351,Gutta Percha Point,,2,Pack,27,Rs. 500 - 700,"Upto 1,000",100,1,237,300,450,1
136031085775,106351,Gutta Percha Point,,1,Pack,27,"Rs. Upto 1,000","Upto 1,000",,1,237,300,450,1
136031085775,106351,Gutta Percha Point,,1,Pack,27,"Rs. Upto 1,000","Upto 1,000",,1,237,300,450,1
136136775552,106935,Dummy Plug,1,5,Piece,31,Rs. 11 - 50,"Upto 1,000",100,-1,2,40,300,#N/A
136196329913,107985,LED Sunglasses,,50,Piece,31,"Rs. 3,500 - 7,000","3,000 to 10,000",300,-1,70,140,400,10
136196329913,107985,LED Sunglasses,,50,Piece,31,"Rs. 3,500 - 7,000","3,000 to 10,000",300,1,70,140,400,10
135990502952,107985,LED Sunglasses,,3,Piece,31,"Rs. 300 - 1,200","Upto 1,000",100,1,68,112,400,10
135990502952,107985,LED Sunglasses,,3,Piece,31,"Rs. 300 - 1,200","Upto 1,000",100,0,68,112,400,10
136124951775,107985,LED Sunglasses,,40,Piece,31,"Rs. 10,000 to 20,000","10,000 to 20,000",,0,70,140,400,10
136124951775,107985,LED Sunglasses,,40,Piece,31,"Rs. 10,000 to 20,000","10,000 to 20,000",,0,70,140,400,10
136124951775,107985,LED Sunglasses,,40,Piece,31,"Rs. 10,000 to 20,000","10,000 to 20,000",,1,70,140,400,10
136158951659,107985,LED Sunglasses,,8,piece,31,Rs. 300 - 600,"Upto 1,000",100,1,70,140,400,10
136135190859,107985,LED Sunglasses,,1,Piece,31,Rs. 100 - 400,"Upto 1,000",100,1,70,140,400,10
136135190859,107985,LED Sunglasses,,1,Piece,31,Rs. 100 - 400,"Upto 1,000",100,-1,70,140,400,10
135965378595,107985,LED Sunglasses,,5,Piece,31,"Rs. Upto 1,000","Upto 1,000",100,0,68,112,400,10
136283079485,108550,DIY Toy,0,100,Piece,31,"Rs. 20,000 to 50,000","20,000 to 50,000",500,0,110,250,450,#N/A
136270278567,108550,DIY Toy,0,500,Piece,31,Rs. 1 to 2 Lakh,1 to 2 Lakh,700,1,110,250,450,#N/A
136072528646,108550,DIY Toy,0,20,Piece,31,"Rs. 3,600 - 5,000","3,000 to 10,000",300,1,110,250,452,#N/A
136072528646,108550,DIY Toy,0,20,Piece,31,"Rs. 3,600 - 5,000","3,000 to 10,000",300,0,110,250,452,#N/A
135882554613,108550,DIY Toy,0,10,Piece,31,"Rs. 1,000 to 3,000","1,000 to 3,000",200,0,110,250,452,#N/A
