unit_srch_text,unit_display_name,gl_unit_id
20' Containeru,20' Container,1
20ft container,20' Container,1
20 FEET CONTAINER,20' Container,1
20' container,20' Container,1
20' Container,20' Container,1
20' Container(s),20' Container,1
20 FT CONTAINER,20' Container,1
20FT CONTAINER,20' Container,1
20' CONTAINER,20' Container,1
20'' Container(s),20' Container,1
20' Container2,20' Container,1
20' CONTAINER(S),20' Container,1
20 CONTAINER,20' Container,1
40 FEET CONTAINER,40' Container,2
40' container,40' Container,2
40' Container,40' Container,2
40' Container(s),40' Container,2
40f container,40' Container,2
40ft container,40' Container,2
40' CONTAINER(S),40' Container,2
40' CONTAINER,40' Container,2
40'' Container(s),40' Container,2
40FT CONTAINER,40' Container,2
40 CONTAINER,40' Container,2
1 BAG FOR EACH BRAND,Bag,3
1BAG,Bag,3
25 KG BAG,Bag,3
ONE BAG,Bag,3
1 bags,Bag,3
Bags,Bag,3
Bag,Bag,3
per bag,Bag,3
40 Kg bag,Bag,3
One bag,Bag,3
25 kg bag,Bag,3
40kg bag,Bag,3
Bag(s),Bag,3
30kg bag,Bag,3
1bag,Bag,3
24 kgs bag,Bag,3
1 bag,Bag,3
1/bag,Bag,3
Bag FOR,Bag,3
Bag/Bags,Bag,3
Per Bags,Bag,3
25 Kg. Bag,Bag,3
25 kgs bag,Bag,3
10 bag,Bag,3
150Bag,Bag,3
200Bag,Bag,3
20bags,Bag,3
30 Kilogram Bag,Bag,3
Above Bag,Bag,3
Bag powr,Bag,3
Bag (s),Bag,3
Bag Each Spices,Bag,3
Bag For Each,Bag,3
Bag In Each Type Of Pulses,Bag,3
Bag Of Each Brand,Bag,3
Bag Of Each Quality,Bag,3
Bag Of Each Variety,Bag,3
Bag ppc,Bag,3
Bag(,Bag,3
Bag(1,Bag,3
Bag(1s),Bag,3
Bag(200s),Bag,3
Bag(600s),Bag,3
Bag(kate),Bag,3
Bag(s,Bag,3
Bag(s)1,Bag,3
Bag(s)bags,Bag,3
Bag),Bag,3
Bag1,Bag,3
Bags Of Each,Bag,3
Bags),Bag,3
beg,Bag,3
begs,Bag,3
Each Bag,Bag,3
Each Of Bags,Bag,3
1 bag,Bag,3
Bori,Bag,3
Bora,Bag,3
Bore,Bag,3
Katta,Bag,3
Katte,Bag,3
BAG OF EACH,Bag,3
BAG EACH,Bag,3
BAG,Bag,3
BAG(S),Bag,3
BAGS,Bag,3
1 BARREL,Barrel,4
Bareel,Barrel,4
Barells,Barrel,4
Bari,Barrel,4
BARREL,Barrel,4
BARREL(S),Barrel,4
Barrel/Barrels,Barrel,4
BARRELS,Barrel,4
